COUNTRY,Dryland Systems,Humid Tropics,AAS,PIM,Wheat,Maize,GRiSP,RTB,Grain Legumes,Dryland Cereals,Livestock and Fish,A4NH,WLE,FTA,CCAFS,Genebanks,COUNT,ALL
Afghanistan,0,0,0,0,Wheat,Maize,0,0,0,0,0,A4NH,0,0,0,0,3,
Algeria,Dryland Systems,0,0,0,Wheat,0,0,0,0,0,0,0,0,0,0,0,2,
Angola,0,0,0,PIM,0,Maize,0,0,Grain Legumes,0,0,0,0,0,0,0,3,
Argentina,0,0,0,0,Wheat,Maize,GRiSP,0,0,0,0,0,0,0,0,0,3,
Austria,0,0,0,0,0,Maize,0,0,0,0,0,0,0,0,0,Genebanks,2,
Australia,0,0,0,0,0,0,GRiSP,0,0,0,0,0,0,0,0,Genebanks,2,
Azerbaijan,0,0,0,0,Wheat,Maize,0,0,0,0,0,0,0,0,0,0,2,
Bangladesh,0,0,AAS,PIM,Wheat,Maize,GRiSP,RTB,Grain Legumes,0,Livestock and Fish,A4NH,WLE,FTA,CCAFS,0,12,
Belgium,0,0,0,0,0,0,GRiSP,0,0,0,0,0,0,0,0,Genebanks,2,
Belize,0,0,0,0,0,Maize,0,0,0,0,0,0,0,0,0,0,1,
Benin,0,Humid Tropics,0,PIM,0,Maize,GRiSP,RTB,Grain Legumes,0,0,A4NH,0,FTA,0,0,8,
Bhutan,0,0,0,PIM,0,0,GRiSP,RTB,0,0,0,A4NH,0,FTA,CCAFS,0,6,
Bolivia,0,0,0,PIM,0,Maize,GRiSP,RTB,0,0,0,A4NH,WLE,FTA,CCAFS,0,8,
Botswana,0,0,0,0,0,Maize,0,0,0,0,0,0,0,0,0,0,1,
Brazil,0,0,0,PIM,Wheat,Maize,GRiSP,RTB,0,0,0,A4NH,0,FTA,CCAFS,Genebanks,9,
Burkina Faso,0,0,0,PIM,0,Maize,GRiSP,0,Grain Legumes,0,0,0,WLE,FTA,CCAFS,0,7,
Burundi,0,Humid Tropics,0,PIM,Wheat,0,GRiSP,RTB,Grain Legumes,0,0,A4NH,0,0,CCAFS,Genebanks,9,
Cambodia,0,Humid Tropics,AAS,PIM,0,0,GRiSP,RTB,0,0,0,A4NH,WLE,0,CCAFS,0,8,
Cameroon,0,0,0,PIM,0,Maize,GRiSP,0,Grain Legumes,0,0,0,0,FTA,0,Genebanks,6,
Cape Verde,0,0,0,0,0,Maize,0,0,0,0,0,0,0,0,0,0,1,
Central Africa Republic,0,0,0,0,0,Maize,GRiSP,0,Grain Legumes,0,0,0,0,0,0,0,3,
Chad,0,0,0,0,0,Maize,GRiSP,0,0,0,0,0,0,0,0,0,2,
Chile,0,0,0,0,0,0,GRiSP,0,0,0,0,0,WLE,0,0,0,2,
China,Dryland Systems,0,0,PIM,Wheat,Maize,GRiSP,RTB,0,0,Livestock and Fish,A4NH,WLE,FTA,CCAFS,Genebanks,12,
Colombia,0,Humid Tropics,0,PIM,0,Maize,GRiSP,RTB,0,0,0,0,WLE,FTA,CCAFS,0,8,
,,,,,,,,,,,,,,,,,,
Costa Rica,0,Humid Tropics,0,PIM,0,Maize,GRiSP,RTB,0,0,0,0,0,FTA,CCAFS,0,7,
Czech Republic,0,0,0,0,0,0,0,RTB,0,0,0,0,0,0,0,Genebanks,2,
