COUNTRY,A4NH,AAS,CCAFS,Dryland Cereals,Dryland Systems,FTA,GRiSP,Grain Legumes,Humid Tropics,Livestock and Fish,Maize,PIM,RTB,WLE,Wheat,COUNT,ALL,Genebanks
Afghanistan,0,0,0,Dryland Cereals,Dryland Systems,0,0,0,0,0,0,0,0,0,Wheat,3.0,"Dryland Cereals,Dryland Systems,Wheat",0
Algeria,0,0,0,0,Dryland Systems,0,0,Grain Legumes,0,0,0,0,0,0,Wheat,3.0,"Dryland Systems,Grain Legumes,Wheat",0
Angola,A4NH,0,CCAFS,0,Dryland Systems,FTA,GRiSP,Grain Legumes,Humid Tropics,Livestock and Fish,Maize,PIM,RTB,WLE,0,12.0,"A4NH,CCAFS,Dryland Systems,FTA,GRiSP,Grain Legumes,Humid Tropics,Livestock and Fish,Maize,PIM,RTB,WLE",0
Argentina,0,AAS,0,0,0,0,0,0,0,0,0,PIM,0,0,0,2.0,"AAS,PIM",0
Australia,A4NH,AAS,CCAFS,Dryland Cereals,Dryland Systems,FTA,GRiSP,Grain Legumes,Humid Tropics,Livestock and Fish,Maize,PIM,RTB,WLE,Wheat,15.0,"A4NH,AAS,CCAFS,Dryland Cereals,Dryland Systems,FTA,GRiSP,Grain Legumes,Humid Tropics,Livestock and Fish,Maize,PIM,RTB,WLE,Wheat",0
Austria,0,0,0,0,Dryland Systems,0,0,0,0,0,Maize,0,RTB,0,0,3.0,"Dryland Systems,Maize,RTB",0
Azerbaijan,0,0,0,Dryland Cereals,0,0,0,0,0,0,0,0,0,0,0,1.0,Dryland Cereals,0
Bangladesh,A4NH,AAS,CCAFS,0,Dryland Systems,0,GRiSP,Grain Legumes,0,Livestock and Fish,Maize,PIM,RTB,WLE,Wheat,12.0,"A4NH,AAS,CCAFS,Dryland Systems,GRiSP,Grain Legumes,Livestock and Fish,Maize,PIM,RTB,WLE,Wheat",0
Belgium,0,AAS,0,0,Dryland Systems,0,0,0,0,Livestock and Fish,0,PIM,RTB,0,0,5.0,"AAS,Dryland Systems,Livestock and Fish,PIM,RTB",0
Belize,0,0,0,0,0,0,0,0,0,0,0,PIM,0,0,0,1.0,PIM,0
Benin,0,0,0,0,0,0,GRiSP,Grain Legumes,0,0,Maize,PIM,0,0,0,4.0,"GRiSP,Grain Legumes,Maize,PIM",0
Bolivia,0,0,CCAFS,0,0,0,GRiSP,0,0,0,Maize,PIM,RTB,WLE,0,6.0,"CCAFS,GRiSP,Maize,PIM,RTB,WLE",0
Brazil,A4NH,0,CCAFS,Dryland Cereals,Dryland Systems,FTA,0,0,0,Livestock and Fish,Maize,PIM,RTB,0,Wheat,10.0,"A4NH,CCAFS,Dryland Cereals,Dryland Systems,FTA,Livestock and Fish,Maize,PIM,RTB,Wheat",0
Burkina Faso,0,0,CCAFS,Dryland Cereals,0,FTA,0,Grain Legumes,0,Livestock and Fish,0,0,0,0,0,5.0,"CCAFS,Dryland Cereals,FTA,Grain Legumes,Livestock and Fish",0
Burundi,0,0,0,0,0,0,GRiSP,Grain Legumes,0,0,0,PIM,RTB,0,0,4.0,"GRiSP,Grain Legumes,PIM,RTB",0
Buthan,0,0,0,0,0,0,0,0,0,0,0,0,RTB,0,Wheat,2.0,"RTB,Wheat",0
Cambodia,0,AAS,0,0,0,0,GRiSP,0,0,Livestock and Fish,0,PIM,RTB,WLE,0,6.0,"AAS,GRiSP,Livestock and Fish,PIM,RTB,WLE",0
Cameroon,0,0,0,0,0,FTA,GRiSP,Grain Legumes,Humid Tropics,0,0,PIM,RTB,0,0,6.0,"FTA,GRiSP,Grain Legumes,Humid Tropics,PIM,RTB",0
Canada,0,0,0,0,0,0,GRiSP,0,0,0,Maize,PIM,0,0,0,3.0,"GRiSP,Maize,PIM",0
Central Africa Republic,0,0,0,0,0,0,GRiSP,0,0,0,0,0,0,0,0,1.0,GRiSP,0
Chad,0,0,0,0,0,0,GRiSP,0,0,0,0,0,0,0,0,1.0,GRiSP,0
Chile,0,0,0,Dryland Cereals,0,0,0,0,0,0,0,0,0,WLE,0,2.0,"Dryland Cereals,WLE",0
China,0,0,CCAFS,Dryland Cereals,Dryland Systems,FTA,GRiSP,Grain Legumes,0,0,Maize,PIM,RTB,WLE,Wheat,11.0,"CCAFS,Dryland Cereals,Dryland Systems,FTA,GRiSP,Grain Legumes,Maize,PIM,RTB,WLE,Wheat",0
Colombia,0,0,CCAFS,0,0,FTA,0,Grain Legumes,0,Livestock and Fish,Maize,PIM,RTB,WLE,0,8.0,"CCAFS,FTA,Grain Legumes,Livestock and Fish,Maize,PIM,RTB,WLE",0
Costa Rica,0,0,0,0,0,0,GRiSP,0,0,Livestock and Fish,0,0,RTB,0,0,3.0,"GRiSP,Livestock and Fish,RTB",0
Cotonou,0,0,0,0,0,0,GRiSP,0,0,0,0,0,0,0,0,1.0,GRiSP,0
Democratic Republic of Congo,0,0,0,0,0,0,0,Grain Legumes,Humid Tropics,0,0,0,RTB,WLE,0,4.0,"Grain Legumes,Humid Tropics,RTB,WLE",0
Denmark,0,AAS,CCAFS,0,0,0,0,0,0,0,0,0,0,0,Wheat,3.0,"AAS,CCAFS,Wheat",0
Ecuador,0,0,0,0,0,0,GRiSP,0,0,0,0,PIM,RTB,WLE,0,4.0,"GRiSP,PIM,RTB,WLE",0
Egypt,0,0,CCAFS,Dryland Cereals,Dryland Systems,0,0,Grain Legumes,0,Livestock and Fish,0,PIM,0,0,Wheat,7.0,"CCAFS,Dryland Cereals,Dryland Systems,Grain Legumes,Livestock and Fish,PIM,Wheat",0
El Salvador,0,0,0,0,0,0,0,0,0,Livestock and Fish,0,PIM,0,0,0,2.0,"Livestock and Fish,PIM",0
Eritrea,0,0,0,Dryland Cereals,0,0,0,Grain Legumes,0,0,0,PIM,0,0,0,3.0,"Dryland Cereals,Grain Legumes,PIM",0
Ethiopia,A4NH,0,CCAFS,Dryland Cereals,Dryland Systems,FTA,0,Grain Legumes,Humid Tropics,Livestock and Fish,Maize,PIM,RTB,WLE,Wheat,13.0,"A4NH,CCAFS,Dryland Cereals,Dryland Systems,FTA,Grain Legumes,Humid Tropics,Livestock and Fish,Maize,PIM,RTB,WLE,Wheat",0
Fiji,0,0,0,0,0,0,0,0,0,0,0,0,RTB,0,0,1.0,RTB,0
Finland,0,0,CCAFS,0,0,0,0,0,0,0,0,0,RTB,WLE,0,3.0,"CCAFS,RTB,WLE",0
France,0,AAS,CCAFS,Dryland Cereals,Dryland Systems,0,GRiSP,0,0,0,0,PIM,RTB,WLE,Wheat,9.0,"AAS,CCAFS,Dryland Cereals,Dryland Systems,GRiSP,PIM,RTB,WLE,Wheat",0
Gambia,0,0,0,0,0,0,GRiSP,0,0,0,0,0,0,0,0,1.0,GRiSP,0
Georgia,0,0,0,0,0,0,0,Grain Legumes,0,0,0,0,0,0,0,1.0,Grain Legumes,0
Germany,0,AAS,CCAFS,Dryland Cereals,Dryland Systems,0,GRiSP,Grain Legumes,Humid Tropics,0,Maize,PIM,0,0,Wheat,10.0,"AAS,CCAFS,Dryland Cereals,Dryland Systems,GRiSP,Grain Legumes,Humid Tropics,Maize,PIM,Wheat",0
